id;top
00001;[4811, 3737, 4748, 5968, 2627, 1590, 5451, 6644, 3764, 5469]
00002;[5087, 5486, 6333, 554, 5491, 5485, 3916, 1887, 5085, 1588]
00003;[501, 4991, 5956, 4856, 2181, 6491, 5491, 2251, 48, 628]
00004;[2714, 3391, 4020, 5811, 5530, 3392, 131, 2598, 3695, 4408]
00005;[5140, 2461, 1019, 2358, 6152, 6579, 5947, 4245, 617, 474]
00006;[1189, 991, 1924, 128, 1925, 233, 3498, 542, 6511, 6661]
00007;[973, 6603, 305, 2071, 1326, 2953, 861, 4137, 1491, 717]
00008;[6603, 973, 717, 4627, 4750, 3679, 4119, 4740, 2087, 2515]
00009;[2, 3481, 24, 4872, 2515, 1021, 2131, 3944, 877, 6660]
00010;[305, 2264, 3471, 3842, 920, 3211, 1262, 4516, 2263, 3778]
00011;[3922, 5087, 554, 5441, 5085, 5084, 6001, 2783, 1677, 4311]
00012;[6603, 973, 717, 3679, 4740, 2087, 205, 6437, 2441, 1448]
00013;[5070, 4750, 1613, 2251, 2181, 653, 1611, 6538, 1806, 3300]
00014;[6538, 3260, 3500, 2784, 53, 1547, 3570, 5821, 5222, 3806]
00015;[5940, 5271, 4005, 2902, 4588, 5941, 1635, 3333, 3187, 1725]
00016;[5280, 4241, 6034, 1586, 1916, 5051, 2403, 4240, 4242, 4239]
00017;[1671, 40, 4241, 6522, 1586, 4239, 5520, 3373, 1526, 3971]
00018;[2354, 5206, 1192, 4105, 5957, 1849, 5370, 4948, 2721, 5283]
00019;[2354, 1849, 2293, 5957, 5377, 1843, 2766, 3441, 1192, 5947]
00020;[5957, 5206, 1870, 2448, 2354, 5947, 4105, 6323, 5377, 1849]
00021;[2354, 5957, 4105, 5377, 1849, 1192, 5283, 5285, 6623, 5947]
00022;[3641, 5474, 5013, 5999, 1806, 2617, 576, 2526, 1092, 2780]
00023;[5486, 5485, 6333, 5087, 5491, 3269, 6034, 4627, 5085, 3366]
00024;[5486, 5485, 5087, 5491, 3269, 6333, 5085, 5119, 3916, 1887]
00025;[5486, 5485, 5087, 6333, 5085, 6034, 1887, 3269, 3916, 5491]
00026;[5087, 5291, 546, 554, 3366, 4563, 6655, 1588, 3269, 488]
00027;[2141, 454, 6215, 3937, 3923, 391, 3783, 4331, 5971, 6543]
00028;[3639, 509, 5524, 2440, 2895, 2698, 2894, 4275, 2251, 3976]
00029;[5554, 5202, 5087, 1951, 3366, 4311, 5085, 1843, 4341, 3922]
00030;[3153, 6034, 2757, 5639, 4632, 631, 1801, 6242, 1177, 5836]
00031;[1026, 917, 5417, 5715, 1315, 1441, 2718, 5905, 806, 5990]
