query;find_id;session_id;position
"teacher";4156;nu6cgakK;220
"teacher with cigarette";4156;nu6cgakK;9
"toilet student";7522;nu6cgakK;3
"dog";9373;nu6cgakK;27
"graffiti";3877;nu6cgakK;51
"fire";1821;nu6cgakK;42
"dark forest";912;nu6cgakK;48
"bohemia title";11850;nu6cgakK;67
"Bichovi";11850;nu6cgakK;9
"man red";3977;nu6cgakK;1406"river";4156;jwa8o0c5;1930
"woman with cigarette";4156;wN033YId;18
"student on toilet";7522;wN033YId;5
"dog";9373;wN033YId;27
"grafitti purple";3877;wN033YId;5
"fire";1821;wN033YId;42
"dark forest";912;wN033YId;48
"title Praha";11850;wN033YId;83
"documentary script cinema";11850;wN033YId;961
"documentary cinema title";11850;wN033YId;913
"documentary cinema script title Bohemia";11850;wN033YId;170
"cookbook menu recipe protocol";11850;wN033YId;8
"men in red";3977;wN033YId;1043
"bandana cuckoo automaton runaway pavement parachute paranoia drive";3977;wN033YId;50
"illusion deer";2416;wN033YId;20
"elk deer illusion";2416;wN033YId;5
"summer swim";101;wN033YId;2
