id;top
00001;[25, 224, 435, 391, 100, 488, 346, 299, 482, 210]
00002;[25, 224, 482, 474, 299, 488, 100, 471, 346, 391]
00003;[25, 224, 346, 482, 474, 391, 507, 298, 100, 460]
00004;[346, 507, 224, 25, 298, 303, 100, 482, 474, 221]
00005;[474, 482, 25, 440, 507, 460, 430, 298, 346, 463]
00006;[224, 25, 474, 482, 100, 460, 311, 298, 391, 346]
00007;[224, 324, 100, 311, 25, 391, 147, 482, 488, 434]
00008;[224, 324, 100, 25, 311, 391, 298, 460, 482, 488]
00009;[224, 324, 311, 100, 25, 346, 391, 147, 192, 488]
00010;[224, 324, 25, 311, 391, 488, 100, 346, 147, 434]
00011;[224, 25, 324, 311, 488, 100, 391, 346, 434, 298]
00012;[224, 324, 25, 311, 100, 391, 488, 346, 147, 298]
00013;[224, 324, 25, 311, 346, 100, 391, 488, 434, 298]
00014;[224, 324, 311, 391, 25, 100, 346, 488, 147, 298]
00015;[224, 324, 25, 100, 488, 311, 298, 346, 391, 434]
00016;[224, 84, 298, 147, 346, 474, 25, 391, 460, 477]
00017;[346, 224, 84, 147, 391, 298, 100, 311, 474, 221]
00018;[224, 346, 84, 474, 147, 25, 100, 324, 311, 298]
00019;[224, 84, 440, 221, 346, 298, 430, 100, 95, 474]
00020;[224, 221, 440, 95, 84, 346, 133, 298, 507, 430]
00021;[224, 346, 324, 84, 25, 298, 311, 100, 221, 147]
00022;[224, 25, 84, 346, 324, 147, 100, 298, 311, 391]
00023;[64, 240, 263, 26, 367, 169, 398, 286, 58, 343]
00024;[64, 26, 240, 263, 169, 286, 61, 398, 97, 367]
00025;[58, 367, 64, 261, 169, 27, 397, 92, 398, 240]
00026;[64, 26, 286, 169, 391, 240, 263, 104, 12, 311]
00027;[64, 26, 286, 169, 240, 263, 61, 12, 311, 391]
00028;[221, 95, 359, 334, 25, 84, 12, 135, 224, 346]
00029;[359, 334, 25, 221, 12, 84, 237, 303, 95, 224]
00030;[25, 359, 303, 299, 488, 224, 351, 403, 346, 482]
00031;[25, 359, 230, 403, 237, 346, 85, 303, 299, 345]
00032;[25, 359, 346, 403, 224, 61, 348, 303, 298, 488]
00033;[359, 25, 303, 334, 224, 12, 221, 507, 84, 95]
00034;[359, 334, 84, 221, 95, 12, 507, 303, 25, 346]
00035;[303, 359, 351, 221, 84, 12, 507, 95, 334, 25]
00036;[359, 303, 221, 84, 95, 351, 12, 507, 334, 346]
00037;[359, 84, 221, 12, 95, 507, 303, 334, 346, 25]
00038;[359, 221, 334, 95, 84, 303, 12, 25, 507, 346]
00039;[359, 25, 221, 84, 95, 12, 303, 334, 507, 346]
00040;[359, 221, 303, 84, 25, 95, 507, 224, 346, 334]
00041;[359, 84, 221, 12, 95, 507, 346, 303, 334, 488]
00042;[359, 221, 84, 303, 12, 334, 95, 507, 346, 25]
00043;[359, 221, 95, 84, 334, 507, 12, 303, 488, 25]
00044;[359, 84, 95, 221, 334, 488, 346, 72, 12, 25]
00045;[359, 12, 221, 84, 237, 303, 95, 136, 507, 72]
00046;[359, 84, 95, 12, 221, 334, 72, 507, 117, 25]
00047;[359, 221, 95, 84, 334, 303, 12, 25, 507, 351]
00048;[359, 334, 25, 95, 346, 221, 84, 303, 507, 12]
00049;[359, 346, 25, 95, 84, 507, 221, 334, 224, 298]
00050;[25, 359, 84, 346, 95, 334, 224, 221, 507, 488]
00051;[359, 25, 221, 334, 95, 507, 84, 12, 224, 346]
00052;[359, 95, 221, 12, 507, 84, 334, 25, 160, 303]
00053;[359, 84, 95, 334, 221, 507, 12, 346, 25, 303]
00054;[359, 25, 334, 12, 95, 303, 84, 482, 237, 221]
00055;[359, 221, 95, 84, 507, 334, 12, 303, 25, 135]
00056;[359, 221, 84, 303, 25, 334, 95, 507, 12, 351]
00057;[359, 303, 221, 507, 25, 95, 84, 12, 334, 351]
00058;[359, 95, 221, 334, 84, 303, 507, 25, 12, 351]
00059;[221, 359, 334, 84, 95, 507, 25, 12, 224, 488]
00060;[359, 221, 334, 84, 12, 95, 507, 25, 160, 303]
00061;[359, 221, 95, 507, 84, 334, 12, 25, 488, 346]
00062;[359, 25, 84, 221, 95, 12, 507, 334, 346, 224]
00063;[359, 221, 95, 507, 334, 12, 84, 303, 135, 25]
00064;[72, 398, 348, 345, 434, 213, 307, 127, 12, 52]
00065;[72, 70, 12, 117, 164, 196, 11, 324, 100, 434]
00066;[72, 12, 70, 196, 434, 117, 11, 164, 345, 307]
00067;[72, 117, 12, 70, 359, 221, 160, 388, 507, 11]
00068;[196, 72, 324, 348, 127, 434, 395, 70, 100, 12]
00069;[72, 133, 120, 117, 12, 203, 395, 434, 221, 70]
00070;[286, 133, 72, 149, 86, 132, 41, 398, 354, 173]
00071;[72, 467, 86, 95, 132, 133, 12, 286, 221, 109]
00072;[72, 70, 12, 196, 164, 398, 395, 133, 84, 11]
00073;[398, 213, 127, 348, 72, 395, 354, 268, 132, 347]
00074;[398, 348, 396, 286, 395, 149, 72, 213, 203, 41]
00075;[286, 149, 72, 396, 314, 203, 361, 398, 231, 41]
00076;[133, 72, 286, 348, 314, 12, 132, 86, 196, 173]
00077;[72, 12, 70, 221, 160, 95, 117, 388, 84, 11]
00078;[366, 395, 293, 296, 398, 127, 229, 111, 132, 354]
00079;[293, 366, 109, 395, 72, 484, 296, 354, 451, 103]
00080;[366, 296, 354, 395, 293, 288, 229, 127, 132, 398]
00081;[366, 296, 293, 354, 395, 127, 398, 173, 288, 208]
00082;[293, 366, 296, 395, 354, 196, 229, 208, 104, 111]
00083;[296, 366, 229, 354, 293, 208, 348, 127, 395, 398]
00084;[366, 296, 293, 398, 354, 288, 395, 127, 229, 194]
00085;[296, 366, 398, 293, 229, 395, 354, 127, 348, 288]
00086;[296, 366, 288, 354, 208, 229, 127, 293, 132, 395]
00087;[345, 127, 302, 348, 398, 41, 396, 196, 23, 256]
00088;[345, 127, 302, 41, 348, 398, 280, 347, 286, 61]
00089;[345, 127, 166, 302, 348, 256, 398, 61, 23, 80]
00090;[345, 127, 302, 348, 23, 398, 268, 256, 50, 41]
00091;[345, 348, 127, 302, 214, 396, 23, 41, 50, 208]
00092;[345, 348, 41, 127, 302, 50, 23, 256, 122, 149]
00093;[345, 127, 348, 398, 302, 256, 41, 434, 166, 61]
00094;[345, 127, 348, 398, 302, 268, 208, 266, 280, 166]
00095;[347, 366, 395, 173, 296, 132, 348, 254, 354, 346]
00096;[347, 254, 132, 214, 229, 194, 173, 348, 366, 354]
00097;[347, 254, 214, 132, 24, 155, 194, 229, 398, 366]
00098;[347, 254, 132, 24, 194, 214, 366, 155, 296, 173]
00099;[347, 254, 214, 194, 132, 155, 173, 296, 24, 354]
00100;[366, 477, 395, 347, 421, 482, 430, 510, 449, 474]
00101;[359, 12, 424, 303, 471, 221, 232, 85, 351, 507]
00102;[471, 481, 424, 303, 299, 428, 232, 430, 12, 298]
00103;[471, 303, 424, 481, 298, 430, 232, 482, 12, 299]
00104;[471, 303, 481, 424, 428, 298, 418, 482, 454, 429]
00105;[471, 481, 482, 449, 463, 303, 427, 424, 430, 298]
00106;[481, 471, 449, 463, 303, 482, 428, 424, 430, 447]
00107;[471, 481, 463, 449, 482, 447, 303, 427, 428, 469]
00108;[354, 280, 460, 477, 474, 302, 505, 510, 242, 173]
00109;[133, 150, 511, 217, 33, 131, 338, 488, 280, 231]
00110;[511, 89, 21, 45, 173, 32, 302, 488, 217, 338]
00111;[511, 441, 490, 488, 280, 498, 302, 32, 505, 364]
00112;[511, 488, 302, 490, 508, 505, 89, 45, 441, 173]
00113;[488, 302, 107, 307, 511, 230, 89, 505, 460, 354]
00114;[488, 511, 280, 230, 302, 354, 498, 107, 505, 307]
00115;[302, 488, 280, 354, 511, 460, 89, 230, 211, 173]
00116;[302, 354, 488, 280, 460, 28, 474, 89, 511, 45]
00117;[511, 488, 302, 461, 133, 173, 477, 32, 460, 441]
00118;[511, 488, 461, 460, 302, 505, 490, 131, 441, 474]
00119;[511, 302, 460, 440, 505, 488, 474, 461, 107, 45]
00120;[488, 460, 461, 302, 474, 307, 505, 511, 453, 477]
00121;[302, 488, 505, 511, 460, 474, 307, 28, 354, 280]
00122;[511, 302, 89, 488, 354, 505, 318, 45, 173, 32]
00123;[511, 488, 302, 505, 474, 461, 460, 508, 477, 280]
00124;[511, 302, 461, 505, 488, 131, 474, 133, 441, 490]
00125;[302, 488, 511, 45, 131, 89, 505, 318, 173, 453]
00126;[302, 488, 80, 511, 33, 133, 173, 32, 204, 255]
00127;[488, 461, 511, 302, 33, 133, 477, 490, 508, 173]
00128;[511, 488, 302, 489, 490, 441, 147, 173, 484, 508]
00129;[511, 488, 302, 441, 133, 173, 490, 508, 147, 301]
00130;[488, 511, 302, 33, 133, 490, 173, 441, 80, 338]
00131;[488, 133, 511, 302, 33, 108, 147, 508, 80, 224]
00132;[488, 302, 511, 370, 173, 80, 204, 33, 36, 490]
00133;[488, 511, 33, 133, 302, 80, 490, 173, 131, 362]
00134;[133, 33, 511, 488, 173, 255, 302, 47, 490, 80]
00135;[133, 33, 255, 511, 173, 441, 490, 488, 302, 102]
00136;[511, 490, 441, 173, 488, 302, 147, 133, 108, 491]
00137;[511, 133, 33, 488, 80, 173, 302, 490, 255, 441]
00138;[133, 33, 255, 47, 102, 344, 335, 110, 57, 203]
00139;[488, 511, 498, 302, 107, 370, 364, 309, 508, 33]
00140;[107, 488, 498, 370, 302, 511, 510, 485, 320, 461]
00141;[488, 498, 107, 302, 364, 508, 370, 511, 309, 307]
00142;[498, 107, 488, 511, 460, 302, 461, 370, 364, 309]
00143;[133, 217, 47, 362, 33, 338, 78, 131, 378, 150]
00144;[107, 498, 460, 302, 440, 488, 364, 511, 474, 307]
00145;[107, 461, 133, 364, 302, 488, 33, 474, 498, 460]
00146;[395, 217, 107, 131, 498, 166, 302, 231, 143, 327]
