query;find_id;session_id;position;same_video
"fish on sand";91;2F9Ih1Kx;495;0
"fish on sand, spotted porcupinefish, sarcastic fringehead";91;2F9Ih1Kx;164;1
"thorn fish";97;2F9Ih1Kx;2006;0
"thorn fish, threespot damselfish, bluebanded goby";97;2F9Ih1Kx;9429;0
"star";105;2F9Ih1Kx;3428;0
"star, great star coral, sea star";105;2F9Ih1Kx;68;1
"fish with stripes";193;2F9Ih1Kx;177;1
"fish with stripes, kingfishes, clown triggerfish";193;2F9Ih1Kx;111;1
"diver mask hair";317;2F9Ih1Kx;10;1
"purple coral";791;2F9Ih1Kx;11;1
"coral fins";811;2F9Ih1Kx;29;1
"brown stone";844;2F9Ih1Kx;29;1
"crab cage";1337;2F9Ih1Kx;3;1
"yellow corals";1419;2F9Ih1Kx;38;1
"pink coral";1623;2F9Ih1Kx;32;1
"coral labyrinth";1851;2F9Ih1Kx;631;0
"coral labyrinth, ivory bush coral";1851;2F9Ih1Kx;47;1
"stones";1999;2F9Ih1Kx;51;1
"diver with yellow shirt";3604;2F9Ih1Kx;4299;0
"diver with yellow shirt, yellow tube sponge";3604;2F9Ih1Kx;4029;0
"cliff and yellow fish";4719;2F9Ih1Kx;149;0
"cliff and yellow fish, banded butterflyfish, giant barrel sponge";4719;2F9Ih1Kx;89;0
"shark on bottom";17862;2F9Ih1Kx;1142;0
"whitetip reef shark cyan sand";17862;2F9Ih1Kx;218;1
"moray eel open mouth";4022;2F9Ih1Kx;4;1
"brown corals with a lot of fish";2549;2F9Ih1Kx;6366;0
"dark grey corals with a lot of fish";2549;2F9Ih1Kx;7064;0
"dark clouds and mountain";3006;2F9Ih1Kx;530;0
"dark clouds and mountain, plateau";3006;2F9Ih1Kx;694;0
"stones and corals on sea floor";2129;2F9Ih1Kx;209;0
"stones and corals on sea floor, honeycomb coral";2129;2F9Ih1Kx;245;0
"fish with stripes";2819;2F9Ih1Kx;134;1
"fish with stripes, queen angelfish";2819;2F9Ih1Kx;47;1
"coral reef white sand";2261;2F9Ih1Kx;2688;0
"coral reef white sand, elkhorn coral, hood coral";2261;2F9Ih1Kx;2807;0
"grey stone";549;2F9Ih1Kx;5958;0
"grey stone, stonefish";549;2F9Ih1Kx;4510;0
"ship wreck steel blue";10759;2F9Ih1Kx;541;1
"shipwreck, elkhorn coral";10759;2F9Ih1Kx;771;1
"sea floor open sea";11666;2F9Ih1Kx;4403;0
"sea floor open sea, lookdown dory";11666;2F9Ih1Kx;2157;0
"ray";2742;2F9Ih1Kx;1200;0
"ray, spotted eagle ray, giant manta ray, eagle ray";2742;2F9Ih1Kx;308;0
"coral fins";2951;2F9Ih1Kx;3563;0
"coral fins, cockscomb cup coral, lettuce coral";2951;2F9Ih1Kx;1650;0
"lettuce coral";2235;2F9Ih1Kx;474;0
"lettuce coral, cockscomb cup coral and purple coral";2235;2F9Ih1Kx;200;0
"sea floor coral fins";9828;2F9Ih1Kx;4546;0
"sea floor coral fins, bamboo coral, stanghorn coral";9828;2F9Ih1Kx;2038;1
"diver blue fins";2295;2F9Ih1Kx;11762;0
"diver blue fins, lookdown dory";2295;2F9Ih1Kx;12362;0
"three divers";4314;2F9Ih1Kx;78;0
"three divers, giant barrel sponge";4314;2F9Ih1Kx;331;0
"corals and fish";4646;2F9Ih1Kx;3466;0
"corals and fish, honeycomb coral, stanghorn coral";4646;2F9Ih1Kx;5432;0
"yellow fish lettuce coral";3053;2F9Ih1Kx;43;1
"lot of fish bush coral";2486;2F9Ih1Kx;1914;0
"lot of fish bush coral, cockscomb cup coral, kelp forest, branching cauliflower coral";2486;2F9Ih1Kx;2677;0
"yellow fish reef";3951;2F9Ih1Kx;373;0
"yellow fish reef, banded butterflyfish";3951;2F9Ih1Kx;518;0
"sharks in deep sea";5541;2F9Ih1Kx;37;1
"turtle";2809;2F9Ih1Kx;187;0
"turtle, hawksbill turtle, loggerhead turtle";2809;2F9Ih1Kx;55;1
"vertical fish clif";4481;2F9Ih1Kx;212;1
"vertical fish clif, atlantic spadefish";4481;2F9Ih1Kx;20;1
"cauliflower coral";13521;2F9Ih1Kx;13728;0
"bubble coral";13521;2F9Ih1Kx;13231;0
"lettuce coral diver";3415;2F9Ih1Kx;1845;0
"lettuce coral diver, cockscomb cup coral, branching cauliflower coral";3415;2F9Ih1Kx;3049;0
