query;find_id;session_id;position;same_video
"diver with yellow shirt";3604;EPt87JL1;4299;0
"diver with yellow shirt, yellow tube sponge";3604;EPt87JL1;4516;0
"cliff and yellow fish";4719;EPt87JL1;149;0
"cliff and yellow fish, banded butterflyfish, giant barrel sponge";4719;EPt87JL1;129;0
"fish on sand";91;EPt87JL1;495;0
"fish on sand, spotted porcupinefish, sarcastic fringehead";91;EPt87JL1;215;1
"purple coral";791;EPt87JL1;11;1
"shark on bottom";17862;EPt87JL1;1142;0
"whitetip reef shark cyan sand";17862;EPt87JL1;87;1
"moray eel open mouth";4022;EPt87JL1;4;1
"coral fins";811;EPt87JL1;29;1
"brown corals with a lot of fish";2549;EPt87JL1;6366;0
"dark grey corals with a lot of fish";2549;EPt87JL1;7926;0
"crab cage";1337;EPt87JL1;3;1
"dark clouds and mountain";3006;EPt87JL1;530;0
"dark clouds and mountain, plateau";3006;EPt87JL1;891;0
"stones and corals on sea floor";2129;EPt87JL1;209;0
"stones and corals on sea floor, honeycomb coral";2129;EPt87JL1;424;0
"fish with stripes";2819;EPt87JL1;134;1
"fish with stripes, queen angelfish";2819;EPt87JL1;39;1
"star";105;EPt87JL1;3428;0
"star, great star coral, sea star";105;EPt87JL1;18;1
"coral reef white sand";2261;EPt87JL1;2688;0
"coral reef white sand, elkhorn coral, hood coral";2261;EPt87JL1;3308;0
"grey stone";549;EPt87JL1;5958;0
"grey stone, stonefish";549;EPt87JL1;4622;0
"fish with stripes";193;EPt87JL1;177;1
"fish with stripes, kingfishes, clown triggerfish";193;EPt87JL1;77;0
"diver mask hair";317;EPt87JL1;10;1
"ship wreck steel blue";10759;EPt87JL1;541;1
"shipwreck, elkhorn coral";10759;EPt87JL1;2068;1
"stones";1999;EPt87JL1;51;1
"sea floor open sea";11666;EPt87JL1;4403;0
"sea floor open sea, lookdown dory";11666;EPt87JL1;1303;0
"ray";2742;EPt87JL1;1200;0
"ray, spotted eagle ray, giant manta ray, eagle ray";2742;EPt87JL1;220;0
"pink coral";1623;EPt87JL1;32;1
"coral fins";2951;EPt87JL1;3563;0
"coral fins, cockscomb cup coral, lettuce coral";2951;EPt87JL1;1168;0
"lettuce coral";2235;EPt87JL1;474;0
"lettuce coral, cockscomb cup coral and purple coral";2235;EPt87JL1;168;0
"sea floor coral fins";9828;EPt87JL1;4546;0
"sea floor coral fins, bamboo coral, stanghorn coral";9828;EPt87JL1;909;1
"diver blue fins";2295;EPt87JL1;11762;0
"diver blue fins, lookdown dory";2295;EPt87JL1;12816;0
"thorn fish";97;EPt87JL1;2006;0
"thorn fish, threespot damselfish, bluebanded goby";97;EPt87JL1;15285;0
"three divers";4314;EPt87JL1;78;0
"three divers, giant barrel sponge";4314;EPt87JL1;2935;0
"corals and fish";4646;EPt87JL1;3466;0
"corals and fish, honeycomb coral, stanghorn coral";4646;EPt87JL1;7276;0
"yellow fish lettuce coral";3053;EPt87JL1;43;1
"yellow corals";1419;EPt87JL1;38;1
"brown stone";844;EPt87JL1;29;1
"lot of fish bush coral";2486;EPt87JL1;1914;0
"lot of fish bush coral, cockscomb cup coral, kelp forest, branching cauliflower coral";2486;EPt87JL1;3583;0
"yellow fish reef";3951;EPt87JL1;373;0
"yellow fish reef, banded butterflyfish";3951;EPt87JL1;913;0
"sharks in deep sea";5541;EPt87JL1;37;1
"turtle";2809;EPt87JL1;187;0
"turtle, hawksbill turtle, loggerhead turtle";2809;EPt87JL1;4;1
"coral labyrinth";1851;EPt87JL1;631;0
"coral labyrinth, ivory bush coral";1851;EPt87JL1;12;1
"vertical fish clif";4481;EPt87JL1;212;1
"vertical fish clif, atlantic spadefish";4481;EPt87JL1;16;1
"cauliflower coral";13521;EPt87JL1;13728;0
"bubble coral";13521;EPt87JL1;12664;0
"lettuce coral diver";3415;EPt87JL1;1845;0
"lettuce coral diver, cockscomb cup coral, branching cauliflower coral";3415;EPt87JL1;4939;0
