query;find_id;session_id;position;same_video
"greyish fish on sandy sea bottom";14096;2t0J-hiT;54;1
"bluebanded goby, atlantic trumpetfish, bluebanded goby, inshore lizardfish";14096;2t0J-hiT;213;1
"blue nose appearing from a hole";4022;2t0J-hiT;14;1
"grey fish on a seabed";91;2t0J-hiT;30;1
"blue fish with white dots on a coral";16545;2t0J-hiT;704;1
"blue fish with white dots on a coral, queen parrotfish, parrotfish, blue spotted ribbontail ray";16545;2t0J-hiT;90;1
"blue sea with sandy bottom";11666;2t0J-hiT;909;0
"blue sea with , sand flounder";11666;2t0J-hiT;616;0
"big coral with diver at back";3415;2t0J-hiT;2111;1
"diver, pillar coral , threespot damselfish";3415;2t0J-hiT;2725;0
"violette fish in front of rock with a hole";18677;2t0J-hiT;2485;0
"violette fish in front of rock with a hole, broadclub cuttlefish, caribbean reef octopus, flatback turtle";18677;2t0J-hiT;2547;0
"diver with yellow shoes";21876;2t0J-hiT;41;1
"fish with blue background and boat trunk on top";16631;2t0J-hiT;759;0
"fish with blue background and boat trunk on top, pelagic thresher shark, blue shark";16631;2t0J-hiT;824;0
"big fish with sponge coral on the back";2785;2t0J-hiT;81;0
"big fish with sponge coral on the back, gray triggerfish, clown triggerfish, atlantic spadefish";2785;2t0J-hiT;32;1
"dart on a sand";18806;2t0J-hiT;265;0
"dart on a sand, southern stingray, slender snipe eel, longnose sawshark, shortfin eel";18806;2t0J-hiT;54;1
"tiger manta";8912;2t0J-hiT;1130;1
"tiger manta, eagle ray, spotted eagle ray, tropical two-wing flyingfish";8912;2t0J-hiT;200;1
"shark on bluish sand";17862;2t0J-hiT;315;1
"shark on bluish sand, nurse shark, lemon shark, bull shark, spinner shark";17862;2t0J-hiT;148;1
"underwatter trees";21412;2t0J-hiT;15;1
"pink coral with a fish in the centre";9368;2t0J-hiT;14530;0
"pink coral with a fish in the centre, rose coral";9368;2t0J-hiT;14590;0
"squid with grey sand and coral";12906;2t0J-hiT;1258;0
"squid with grey sand and coral, smooth mounding coral";12906;2t0J-hiT;1180;0
"greyish sandish coral on bottom with fisha and blue watter behind";4646;2t0J-hiT;2080;0
"greyish sandish coral on bottom with fisha and blue watter behind, nassau grouper, bamboo coral, boulder star coral";4646;2t0J-hiT;1329;1
"pillar column with small fish";3053;2t0J-hiT;507;0
" with small fish, pillar coral";3053;2t0J-hiT;25;1
"light with blue-green coral on sides";6070;2t0J-hiT;3841;0
"brown-greyish mushroom on sand";14417;2t0J-hiT;223;0
"brown-greyish mushroom on sand, smooth mounding coral, elkhorn coral, honeycomb coral";14417;2t0J-hiT;267;0
"shark in blue ocean";5599;2t0J-hiT;786;0
"shark in blue ocean, blue shark, shortfin mako shark, longfin mako shark";5599;2t0J-hiT;193;1
"brownish coral with small fish in background";13521;2t0J-hiT;2568;0
"brownish coral with small fish in background, boulder star coral";13521;2t0J-hiT;2961;0
"hairy pblue-green coral";6295;2t0J-hiT;30;1
"sandy coral with blueish water";14761;2t0J-hiT;14249;0
"sandy coral with blueish water, smooth mounding coral, bamboo coral, pillar coral, ivory bush coral";14761;2t0J-hiT;12963;0
"shark in dark sea";5432;2t0J-hiT;221;1
"shark in dark sea, bowhead whale, whale, greenland shark";5432;2t0J-hiT;60;1
"yellow star on sand";13947;2t0J-hiT;17;1
"pilar coral with greenish water";2235;2t0J-hiT;153;0
"pilar coral with greenish water, cockscomb cup coral, boulder star coral, hood coral";2235;2t0J-hiT;107;0
"murena fish on green-blueish sand and coral";5358;2t0J-hiT;2545;0
"murena fish on green-blueish sand and coral, green moray eel, banded wrasse";5358;2t0J-hiT;800;0
"stripped fish with diver on background";193;2t0J-hiT;1110;0
"stripped fish with diver on background, atlantic spadefish, gray triggerfish, queen parrotfish";193;2t0J-hiT;565;0
"underwatter grey sand with a rock";549;2t0J-hiT;7048;0
"underwatter grey sand with a rock, seagrass bed";549;2t0J-hiT;6761;0
"diver face with blue-green sandy background";317;2t0J-hiT;708;1
"holed coral brown-redish";14346;2t0J-hiT;8105;1
"holed coral brown-redish, giant barrel sponge";14346;2t0J-hiT;3503;1
"corals on right bottom with blue water on top";9104;2t0J-hiT;10331;0
"corals on right bottom with blue water on top, smooth mounding coral, honeycomb coral, pillar coral";9104;2t0J-hiT;7731;0
"black fish in front of a flock of horizontally striped fishes";426;2t0J-hiT;15;1
"eel hairline corals closeup";18547;2t0J-hiT;46;1
"yellow clustered corals";1419;2t0J-hiT;206;1
"yellow clustered corals, mustard hill coral, kelp forest";1419;2t0J-hiT;35;1
"brown-white crabish on bluish sand";5025;2t0J-hiT;147;0
"brown-white crabish on bluish sand, southern stingray, sand flounder, greenback flounder";5025;2t0J-hiT;249;0
"diver on top of a wrinkled yellow-white coral";16062;2t0J-hiT;175;1
"manta on top of bluish rocky coral";2742;2t0J-hiT;3741;0
"manta on top of bluish rocky coral, giant manta ray";2742;2t0J-hiT;709;0
"underwatter bars and doors";10739;2t0J-hiT;99;1
"underwatter bars and doors, shipwreck, mirror dory";10739;2t0J-hiT;37;1
"greenish muldy waters with diver in the bottm";3006;2t0J-hiT;902;0
"greenish muldy waters with diver in the bottom bubbles on top§";3006;2t0J-hiT;1497;0
"yellow-reddish coral in the dark";21617;2t0J-hiT;719;0
"yellow-reddish coral in the dark, venus sea fan coral";21617;2t0J-hiT;433;0
"yellowish coral rocsk";16394;2t0J-hiT;4718;0
"yellowish coral rocsk, yellow tube sponge, honeycomb coral";16394;2t0J-hiT;4332;0
"pilar coral lighted from sides in a dark ocean";12829;2t0J-hiT;313;0
"pilar coral lighted from sides in a dark ocean, cockscomb cup coral";12829;2t0J-hiT;212;1
