query;find_id;session_id;position;same_video
"two sculptures of face";7847;test_n;1;1
"wedding photo";4008;test_n;485;0
"wedding photo of bride and husband, marriage";4008;test_n;140;0
"surfing";16946;test_n;160;0
"surfing, board, wave";16946;test_n;165;0
"motorcycle race";9028;test_n;4;1
"groom";1155;test_n;166;0
"groom, dressing, men, senator";1155;test_n;179;0
"underwater photo of sand bed";17746;test_n;37;1
"montoro";783;test_n;7;1
"purple photo";8446;test_n;73;0
"purple or pink photo, blurry";8446;test_n;82;0
"terapy, man sitting on sofa";14537;test_n;154;0
"man sitting on sofa, couch";14537;test_n;58;1
"mountains";14630;test_n;305;0
"mountains, alpenhorn, country";14630;test_n;97;0
"old photo of man sitting on couch";6379;test_n;36;1
"sandy beach with small car";15575;test_n;723;0
"sandy beach with small car, dune buggy";15575;test_n;95;0
"interview with man with glasses";8965;test_n;261;0
"interview with younger man with glasses, subtitle";8965;test_n;16;1
"two riders, motorcycle";12693;test_n;124;0
"two riders, motorcycle, sidecar, buggy";12693;test_n;330;0
"dead look, man in dark";8941;test_n;301;0
"dead look, handsome man in dark, haunt";8941;test_n;10;1
"shop with pink ballons";12742;test_n;1;1
"clouds with shinning thing";1664;test_n;478;0
"clouds with shining thing, sky";1664;test_n;368;0
"children";2523;test_n;39;1
"Tate, 7, small girl";19890;test_n;1;1
"sitting man with purple shirt";2944;test_n;186;0
"man with purple shirt stting on bench";2944;test_n;973;0
"videoclip, man in dark clothes ";15936;test_n;588;0
"videoclip, man in dark clothes, fighter, dance, black and white";15936;test_n;5;1
"subttiles, end of movie";3019;test_n;3;1
"woman in white tanktop looking away, black and white";11904;test_n;2;1
"american flag";5241;test_n;1;1
"party with red lights";12801;test_n;124;0
"party crowd with red lights, dancing";12801;test_n;203;0
"bonus footage, skiing";9381;test_n;1;1
"mountains with snow, sunset";11061;test_n;57;1
"cooking, raw meat, knife, hands";13399;test_n;1;1
"island with sea and palms";5067;test_n;11;1
"cooking, man in orange shirt";3035;test_n;16;1
"small dark girl, outside";10524;test_n;29;1
"small boy and man playing around";17273;test_n;4;1
"snowboarder in air";12112;test_n;7;1
"man and a lot of books and small statue";16355;test_n;935;0
"smiling man before a lot of books";16355;test_n;64;0
"mountains and trees in the mist";5570;test_n;1;1
"trumpet players on field";2253;test_n;7;1
"theater crowd whating film";12736;test_n;3;1
"religion stuff";8797;test_n;37;1
"two doors";18719;test_n;123;0
"two doors, hallway, inside, corridor";18719;test_n;207;0
"bird in water";14587;test_n;15;1
"beach with small airplane";2546;test_n;1;1
"blurry photo of snow and forest";11901;test_n;120;0
"fuzzy photo of snow and forest with snowboarder";11901;test_n;14;1
"detail of tree and car behind it";13744;test_n;1;1
"small animated creater, greyish background";4729;test_n;59;1
"small colorfull animated creater, greyish background";4729;test_n;50;1
"man sitting next to mixer";8056;test_n;446;0
"man sitting next to mixer, producer, sound, record";8056;test_n;2;1
"polition in tv, grey hair, older man";13772;test_n;3547;0
"polition in tv, greyish hair, tie";13772;test_n;4518;0
"girl in interview, blue shirt, long hair";7419;test_n;4;1
"skiing in forest";5950;test_n;2;1
"part of man face, selfie";16813;test_n;2997;0
"part of man face, selfie, tree in background";16813;test_n;176;0
"sun panel in field";1006;test_n;1;1
"title ferrie on black background";898;test_n;23;1
"man with cigarette";6670;test_n;82;0
"man with cigarette in detail, close eyes";6670;test_n;25;1
"window with ";19946;test_n;1;1
"man with camera in mountains";2075;test_n;63;0
"man with camera in rocky brown mountains, sunset";2075;test_n;5;1
"biker with backpack inside";11450;test_n;762;0
"two men in green shirt, man in biker clothes with backpack and helmet";11450;test_n;12;1
"wedding photo in detail, groom and bride";9074;test_n;288;0
"wedding photo in detail, groom and bride, partnership, smile, white flower";9074;test_n;129;0
"woman in hurry with colorful clothes and long dark hairs";4436;test_n;229;0
"woman in hurry with colorful clothes and long dark hairs, darker photo, torso";4436;test_n;25;1
"bridge";3068;test_n;39;1
"tractor between white houses";6546;test_n;1;1
"snowboard park, snow, falling snowboarder";9408;test_n;97;0
"snowboard park, snow, falling snowboarder, contest, handrail";9408;test_n;93;0
"snowboarder in mountains";3809;test_n;85;0
"hiker in snow in mountains";3809;test_n;45;1
"gardening";8354;test_n;58;1
"computer program, music editor";17558;test_n;5;1
"country dancers on the street";4056;test_n;1;1
"crowd on the street";3387;test_n;362;0
"crowd on the street next to shopcentre";3387;test_n;74;0
"three roads";12863;test_n;145;0
"three different photos of road";12863;test_n;150;0
"russian word on green background";14202;test_n;1;1
"singer";543;test_n;81;0
"singer, concert, performance";543;test_n;118;0
"car race";1985;test_n;372;0
"car race, 26";1985;test_n;736;0
"bikers in mountains";7782;test_n;27;1
"music by Sytex";10924;test_n;1;1
"fuzzy photo of beach";15085;test_n;3;1
"dancer in shiny dress";11022;test_n;40;1
"forest";3682;test_n;244;0
"forest with biker, trail";3682;test_n;128;0
"photo from plane to forest";8541;test_n;228;0
"photo from plane to forest, gliding, landscape";8541;test_n;48;1
"chairs";2134;test_n;69;0
"chairs in theater";2134;test_n;4;1
"arguing woman";11577;test_n;601;0
"arguing woman in purple shirt, actress, speaking";11577;test_n;17;1
"white car in dark";4094;test_n;12;1
"photo from biker race";16476;test_n;171;0
"photo from cyclist race, gallery";16476;test_n;4;1
"skatepark";10432;test_n;212;0
"skatepark, stairs, blue sky";10432;test_n;155;0
"black flowers";17507;test_n;1;1
"stairs next to wall";705;test_n;16;1
