query;find_id;session_id;position
"man behind glass";900;noekl2vu;334
"man behind glass, drive, gale, peripheral";900;noekl2vu;65
"man behind glass, drive, gale, peripheral, counterpart, driver, windshield";900;noekl2vu;239
"pair in dark";7479;noekl2vu;22
"crying girl next to window";8378;noekl2vu;284
"crying girl next to window, swing, episode, waitress";8378;noekl2vu;125
"crying girl with dark hair next to window, swing, episode, waitress, counterpart, good-bye";8378;noekl2vu;426
"New York";8527;noekl2vu;2
"hedgehog in dark";9180;noekl2vu;1
"pair in field";9287;noekl2vu;582
"pair in field, straw, wheat, grassland";9287;noekl2vu;60
"small boy drawing";8108;noekl2vu;1
"old lady, man and boy in cellar";9138;noekl2vu;73
"old lady, man and boy in cellar, bottling, homeland";9138;noekl2vu;24
"man with black face";9404;noekl2vu;608
"man with black face, devil";9404;noekl2vu;3
"man with paper";8486;noekl2vu;35
"two girls under tree";838;noekl2vu;504
"two girls under tree, handmaiden, picnic, clove";838;noekl2vu;39
"man in taxi";4952;noekl2vu;545
"man in taxi, driver, money";4952;noekl2vu;140
"man in taxi, driver, money, gambling, transaction";4952;noekl2vu;134
"club with blue lights";7682;noekl2vu;37
"man climbing to house";1215;noekl2vu;2
"autumn landscape";1031;noekl2vu;111
"autumn landscape, fog, farmland, countryside";1031;noekl2vu;18
"woman eating bread";198;noekl2vu;545
"woman eating bread in forest, gloves";198;noekl2vu;148
"woman eating bread in forest, gloves, mother-in-law, menopause, forestry";198;noekl2vu;68
"man in shop";6735;noekl2vu;113
"man in shop, commercial, bottling";6735;noekl2vu;92
"man in shop, commercial, bottling, dumbwaiter, refrigerator, soda";6735;noekl2vu;280
"man in hat";9818;noekl2vu;125
"man in hat, beret, yarmulke";9818;noekl2vu;6
"subtitle, AVG";8637;noekl2vu;255
"subtitle, AVG, multimedia, sponsorship, donation";8637;noekl2vu;26
"fire, rosting";1840;noekl2vu;609
"roasting, ham";1840;noekl2vu;154
"roasting, barbecue";1840;noekl2vu;70
"man next to computer";8687;noekl2vu;1000
"man next to computer, network, technologist, gnu, analytics, technician";8687;noekl2vu;138
"man with longer hair next to computer, network, technologist, gnu, analytics, technician";8687;noekl2vu;98
"club with blue lights";3558;noekl2vu;1
"balding older man";7977;noekl2vu;27
"police station";4477;noekl2vu;950
"police station, investigator, documentary, detention";4477;noekl2vu;153
"police station, investigator, documentary, detention, spotlight, counseling, hiring, fax";4477;noekl2vu;84
"forest, wood";214;noekl2vu;73
"forest, wood, log, lumberman";214;noekl2vu;18
"red graffiti";3658;noekl2vu;61
"red drawing";3658;noekl2vu;5
"sunset";10151;noekl2vu;70
"sunset, arrival, arrival, goodbye";10151;noekl2vu;12
"younger man with brown hair";7541;noekl2vu;32
"massage";1181;noekl2vu;395
"massage, nursing, technique, makeover, handmaiden";1181;noekl2vu;78
"massage, nursing, technique, makeover, handmaiden, midwife, stepmother, intervenor";1181;noekl2vu;141
"autumn orange tree";870;noekl2vu;1
"documentary, film, multimedia";11850;noekl2vu;570
"documentary, film, multimedia, Bohemia, brochure, logo";11850;noekl2vu;524
"movie, logo, cinema, invite";11850;noekl2vu;412
"man with red";3977;noekl2vu;222
"man with red, pavement, parachute, paranoia, cannibal";3977;noekl2vu;7
"man eating meat";144;noekl2vu;11
"graffiti, paint";7581;noekl2vu;119
"graffiti, painting, painter, creativity, chasm";7581;noekl2vu;57
"deer";2416;noekl2vu;20
"couple";2315;noekl2vu;294
"couple, in-laws, lobotomy, divorce";2315;noekl2vu;5
"boy on wc";7531;noekl2vu;94
"boy on wc, notebook, speakerphone, reading";7531;noekl2vu;13
"man in front of mirror";9883;noekl2vu;63
"man in front of mirror, drinking, cloakroom, reflection";9883;noekl2vu;3
"man on computer";8956;noekl2vu;9
"house party";5209;noekl2vu;58
"red and black drawing";3943;noekl2vu;2
"young boy with cap";3733;noekl2vu;392
"young boy with cap, brink, strait, ash, blade";3733;noekl2vu;210
"strait, brink, blade, cob, alias, willingness, boyhood";3733;noekl2vu;27
"older sitting man";1629;noekl2vu;1169
"older sitting man, room, conversation, dining";1629;noekl2vu;75
"older sitting man, room, conversation, dining, chit-chat, counterpart, in-laws";1629;noekl2vu;278
"ginger girl, house";1529;noekl2vu;46
"two lying man in dark";5595;noekl2vu;151
"two lying man in dark, hook, dead";5595;noekl2vu;5
"man and woman sitting at table";2281;noekl2vu;713
"man and woman sitting at table, stepmother, Christmas tree ";2281;noekl2vu;5
"road in dark with memorial";2388;noekl2vu;156
"road in dark with memorial, night, jogging, trees";2388;noekl2vu;53
"really dark, right corner is lighter";4432;noekl2vu;165
"really dark, right corner is lighter, darkness, blackness";4432;noekl2vu;148
"really dark, right corner is lighter, darkness, blackness, mangle, blackness";4432;noekl2vu;279
"two man in car, drinking";7626;noekl2vu;7
"older man, sleeping";6590;noekl2vu;16
"balding man";7964;noekl2vu;53
"ginger girl and two girls";1491;noekl2vu;29
"graffiti on tram";3834;noekl2vu;13
"man in dark in front of house";4377;noekl2vu;242
"man in dark in front of house, burglar, stranger, graffiti";4377;noekl2vu;1038
"man in dark in front of house, burglar, stranger, boogeyman, aardvark, burglar";4377;noekl2vu;2116
"two technics";8680;noekl2vu;457
"two technologists, researcher";8680;noekl2vu;79
"two technologists, researcher, gnu, network, analytics, contagion, alias";8680;noekl2vu;242
"man with mushroom";8989;noekl2vu;161
"man with glasses with mushroom and knife";8989;noekl2vu;21
"handwriting";5627;noekl2vu;70
"handwriting, paperwork, notebook, accounting";5627;noekl2vu;6
"man in field";9040;noekl2vu;104
"man with glasses in field, straw";9040;noekl2vu;12
