query;find_id;session_id;position
"yellow fin on the left side of photo";21914;8FEIybF7;843
"flashlight, blurry photo, part of divers fin";21914;8FEIybF7;144
"flashlight, blurry photo, part of yellow divers fin on the left side of the photo";21914;8FEIybF7;1051
"turtle";13467;8FEIybF7;125
"hawksbill turtle, green turtle";13467;8FEIybF7;86
"hawksbill turtle";13467;8FEIybF7;83
"blue and yellow small fishes";3689;8FEIybF7;20
"blurry photo of corals";1644;8FEIybF7;414
"kelp forest, bamboo coral, blurry photo";1644;8FEIybF7;37
"blue photo with shipwreck";10514;8FEIybF7;663
"blue photo with shipwreck on behind of the photo, ghost";10514;8FEIybF7;104
"blue photo with poorly visible shipwreck";10514;8FEIybF7;24
"bottom of the photo and drivers fin on the right side of the photo";9100;8FEIybF7;14820
"blue photo photo of bottom of the sea with corals, white fin of diver on the right side of the photo";9100;8FEIybF7;6892
"white divers fin on the right side of the photo";9100;8FEIybF7;5621
"diver in the bottom left corner of the photo";3933;8FEIybF7;9079
"diver in the bottom left corner of the photo, rocks on the right side of the photo";3933;8FEIybF7;7189
"small diver with bubbles in the bottom left corner of the photo, rocks on the right side of the photo";3933;8FEIybF7;5961
"underwater cave with flashlight";5920;8FEIybF7;1426
"underwater cave with bright flashlight, bright photo";5920;8FEIybF7;1263
"cave with flashlight light, bright photo";5920;8FEIybF7;1214
"diver with breathing bomb";13687;8FEIybF7;664
"diver with breathing bomb on the bottom of the sea";13687;8FEIybF7;631
"diver with breathing bomb on the bottom of the sea, near sea bed";13687;8FEIybF7;579
"rocky wall on the left side of the photo and blue water on the right";4719;8FEIybF7;4384
"rocky wall on the left and blue water on the right with small white and yellow fish";4719;8FEIybF7;2397
"dark rocky wall on the left and blue water on the right with small white and yellow fish and black fishes";4719;8FEIybF7;991
"shark fin and white and black striped fishes";264;8FEIybF7;35
"diver with breathing bomb near sandy ground";14393;8FEIybF7;286
"diver with breathing bomb near white sandy floor";14393;8FEIybF7;221
"sand bed with small corals and diver";14393;8FEIybF7;77
"yellowish pillar coral";3418;oQlenSB-;34
"corals and small black fish";4646;oQlenSB-;1371
"smooth mounding coral, threespot damselfish, nassau grouper";4646;oQlenSB-;38
"diver with red fins";19929;oQlenSB-;10774
"two divers with breathing bomb and red luminous divers fins";19929;oQlenSB-;87
"two divers with breathing bomb and red luminous divers fins, darker photo";19929;oQlenSB-;3
"white straws and corals with small white and black fish";14885;oQlenSB-;110
"white straws and corals with small white and black fish";14885;oQlenSB-;102
"white straws and corals with small white and black fish, ivory bush coral";14885;oQlenSB-;110
"poorly visible ghost sharks";5541;oQlenSB-;303
"poorly visible sharks in lighter blue water";5541;oQlenSB-;96
"poorly visible blue sharks in lighter blue water";5541;oQlenSB-;46
"diver with bright orange object";1103;oQlenSB-;209
"diver with bright orange object, greenish darker photo";1103;oQlenSB-;169
"diver holding bright orange object, greenish darker photo";1103;oQlenSB-;143
"diver near big turtle";14198;oQlenSB-;6689
"diver near big turtle and small fish with yellow fin";14198;oQlenSB-;541
"diver near turtle lying on sea floor and banded butterflyfish";14198;oQlenSB-;95
"moray eel";18684;oQlenSB-;360
"bluehead wrasse, green moray eel";18684;oQlenSB-;135
"queen parrotfish, parrotfish, green moray eel, bluehead wrasse";18684;oQlenSB-;55
"leaf coral with blue and yellowish fish";10136;oQlenSB-;6
"ocean bed bounded by coral reef";11992;oQlenSB-;43
"brownish sponge";15467;oQlenSB-;55
"two turtles in shipwreck";10564;oQlenSB-;6
"underwater cave with diver with yellow divers fins";19825;oQlenSB-;6
"diver with breathing bomb in yellow shirt near rocks";4514;oQlenSB-;294
"diver with breathing bomb in yellow sweater";4514;oQlenSB-;147
"diver with breathing bomb in yellow jacket, smooth mounding coral";4514;oQlenSB-;151
"dark photo with light middle showing corals";19016;c0lizqsz;3177
"dark photo with bright middle showing corals illuminated with white light flashlight";19016;c0lizqsz;1713
"dark photo with bright middle showing whitish corals illuminated with white flashlight";19016;c0lizqsz;1528
"two sharks lying on sandy sea bed";17862;c0lizqsz;323
"two nurse sharks lying on whitish sand sea bed";17862;c0lizqsz;130
"nurse shark, lemon shark, whitetip reef shark lying on whitish sand sea bed";17862;c0lizqsz;57
"banded sea krait lying on sandy sea bed";5090;c0lizqsz;42
"reddish corals in bottom right corner and a lot of small fishes";15280;c0lizqsz;4486
"reddish corals in bottom right corner of the photo, a lot of small fishes";15280;c0lizqsz;4008
"reddish smooth mounding corals in bottom right corner of the photo, a lot of small fishes, sea perch, trevally";15280;c0lizqsz;2662
"small yellow fish near sandy ocean bed with corals";18406;c0lizqsz;48
"brown rocks with white spots";939;c0lizqsz;10
"parrot fish near sand ocean bed, ivory bush corals";17847;c0lizqsz;16
"blackish parrot fish and brain coral";16545;c0lizqsz;593
"parrotfish, queen parrotfish, nassau grouper, black parrot fish with white spots";16545;c0lizqsz;130
"grey parrotfish with white spots near small brain coral";16545;c0lizqsz;52
"big ray near rock";2732;c0lizqsz;420
"giant manta ray near rock";2732;c0lizqsz;5
