query;find_id;session_id;position
"green grass under water";18152;bbQsVcC-;1960
"short green moss under water, darker blue water in the left corner";18152;bbQsVcC-;1120
"smooth mounding coral in the right corner, darker blue water in the left corner of photo";18152;bbQsVcC-;10954
"ray in the middle of photo";8952;bbQsVcC-;897
"giant manta ray in the middle of photo";8952;bbQsVcC-;203
"giant manta ray, giant devilray, atlantic spadefish, broadnose sevengill shark, bat ray, whitetip reef shark, bronzewhaler shark, tiger shark";8952;bbQsVcC-;371
"three divers and a lot of bubbles";6574;-2ABskvd;38
"diver in the bottom of photo, black rocks on the left side of the photo";3006;-2ABskvd;2948
"a lot of bubbles, diver in the bottom of photo, rocks on the left side of the photo";3006;-2ABskvd;545
"diver in the bottom of photo, black rocks on the left side of the photo, all in fog";3006;-2ABskvd;123
"light in the middle of the photo showing corals, lamp on the left side of the photo";18952;-2ABskvd;2161
"darkness, light in the middle of the photo, lamp on the left side of the photo";18952;-2ABskvd;1166
"light in the middle of the photo showing corals, lamp on the left side of the photo, darkness";18952;-2ABskvd;85
"really foggy photo showing dark rocks";549;-2ABskvd;8571
"really light foggy photo showing dark rocks, southern stingray";549;-2ABskvd;1173
"really light foggy photo showing dark rocks, southern stingray, flatback turtle";549;-2ABskvd;280
"coral looking like atomic bomb explosion";13571;-2ABskvd;6546
"dark brown coral looking like atomic bomb explosion";13571;-2ABskvd;5246
"dark brown coral looking like atomic bomb explosion, darker blue water, rocky bottom of sea";13571;-2ABskvd;9174
"rocky wall on the left of the photo, darker blue water on the right of the photo";8533;-2ABskvd;4
"rock details with light fog in the top right";16997;-2ABskvd;672
"rock details with light greenish fog in the top right corner of the photo";16997;-2ABskvd;141
"rock details with light greenish fog in the top right corner of the photo, smooth mounding coral";16997;-2ABskvd;5805
"rocky bottom of sea with small fishes and dark blue water above";11498;-2ABskvd;18339
"rocky and sand bottom of sea at the bottom of the photo and dark blue water above";11498;-2ABskvd;15672
"rocky and sand bottom of sea at the bottom half of the photo and dark blue water with small fishes above";11498;-2ABskvd;14677
"coral on the rocks with small fish with tail fin yellow ";4837;-2ABskvd;4957
"coral on the rocks with small fish with tail fin yellow , smooth mounding coral, grey corals";4837;-2ABskvd;2683
"grey smooth mounding coral on the rocks with small fish with yellow fin";4837;-2ABskvd;3243
"small sharks laying on the bottom of sea, light foggy photo";17855;-2ABskvd;7250
"three small sharks laying in the sand with rocks, light foggy photo";17855;-2ABskvd;6835
"three small sharks laying in the sand with rocks, bright foggy photo";17855;-2ABskvd;7133
"small bubbles on the left side of the photo, light brown rocks on the left side of the photo";3905;-2ABskvd;3322
"small bubbles in the dark blue water on the left side of the photo, brown rocks on the left side of the photo";3905;-2ABskvd;2952
"small bubbles in the blue water on the left side of the photo, brown rocks with smooth mounding corals on the left side of the photo";3905;-2ABskvd;4682
