query;find_id;session_id;position;same_video
"grey shark with white dots";5501;kcb904ZV;2;1
"light blue water with black cable";13326;kcb904ZV;274;1
"light blue water with black cable, slender snipe eel, rock in the bottom right corner";13326;kcb904ZV;47;1
"blue moray eel";4023;kcb904ZV;44;1
"grey rocks in bright foggy photo";17142;kcb904ZV;4401;0
"grey rocks in bright photo";17142;kcb904ZV;2301;0
"grey rocks in bright photo, smooth mounding coral, really light blue";17142;kcb904ZV;2438;1
"sandy ocean bed surrounded by rocky reef";11463;kcb904ZV;1203;0
"sandy ocean bed bounded by reef containing smooth mounding coral";11463;kcb904ZV;841;1
"sandy ocean bed bounded by reef containing smooth mounding coral, pillar coral, hood coral, elkhorn coral, darker blue water above";11463;kcb904ZV;169;1
"red photo of underwater cave";21179;I7-331OL;12;1
"two rays lying in sand";8743;I7-331OL;9548;1
"two stingrays lying in sand with small rocks";8743;I7-331OL;2036;1
"two shovelnose guitarfishes lying in sand with small rocks";8743;I7-331OL;1683;1
"big sponge next to pillar corals";15771;I7-331OL;212;0
"smaller giant barrel sponge next to pillar corals";15771;I7-331OL;23;1
"diver with breathing bomb, yellow shirt and blue fins on the bottom of ocean";2846;I7-331OL;884;0
"diver with breathing bomb, yellow shirt and blue fins near rocky ocean bed";2846;I7-331OL;791;1
"diver with yellow shirt, blue fins and breathing bomb near rocky ocean bed";2846;I7-331OL;979;1
"red and blue rock with ivory bush coral";18537;I7-331OL;1153;1
"red and blue rock with ivory bush coral, caribbean reef octopus, scorpionfish, pillar coral";18537;I7-331OL;424;1
"red and blue rock with boulder star coral, pillar coral, caribbean reef octopus";18537;I7-331OL;1028;1
"a lot of sharks and smaller fishes";267;I7-331OL;10;1
"floating brownish coral with small pink fish in it";15421;I7-331OL;84;1
"floating brownish rose coral with small pink fish in it, cockscomb cup coral";15421;I7-331OL;27;1
"dark photo with bright middle showing rocks and bubble corals";13052;I7-331OL;2247;0
"dark photo with bright light flash middle showing rocks and bubble corals";13052;I7-331OL;262;0
"dark photo with bright greenish light flash middle showing rocks and bubble corals";13052;I7-331OL;268;1
"greenish bright foggy photo of rocky ocean bed";529;I7-331OL;542;1
"bright light greenish grey foggy photo of rocky ocean bed, southern stingray";529;I7-331OL;56;1
"rock detail with white foam";17027;I7-331OL;1676;0
"rock detail on the left side and white foam on the right side";17027;I7-331OL;3267;0
"rock detail on the left side and white and yellowish froth on the right side";17027;I7-331OL;383;0
"diver in the bottom left corner of the darker blue photo";6677;I7-331OL;254;1
"diver with breathing bomb in the bottom left corner of the darker blue photo";6677;I7-331OL;61;1
"diver with breathing bomb in the bottom left corner of the darker blue photo with a few small bubbles";6677;I7-331OL;212;1
"blue narrow fish near grassy ocean bed";18740;I7-331OL;56;1
"brain coral, pillar coral in light brownish photo";1915;I7-331OL;736;0
"brain coral, pillar coral, boulder star coral, honeycomb coral in light brownish photo";1915;I7-331OL;648;0
"brain corals, pillar corals, boulder star corals, honeycomb corals in light brownish photo";1915;I7-331OL;483;0
"turtle near ivory bush corals";9986;I7-331OL;362;1
"loggerhead turtle near greenish ivory bush corals";9986;I7-331OL;191;1
"loggerhead turtle near greenish boulder star corals";9986;I7-331OL;181;1
"turtle in darker blue photo";10778;I7-331OL;301;1
"hawksbill turtle in darker blue photo";10778;I7-331OL;124;1
"bottom of hawksbill turtle in darker blue photo";10778;I7-331OL;170;1
"blurry photo of red rock in sand";7507;I7-331OL;243;0
"blurry photo of reddish rock in blueish sand";7507;I7-331OL;13;1
"ray in light blue water";8957;I7-331OL;3810;0
"small stingray in light blue water";8957;I7-331OL;554;1
"small eagle ray in light blue water";8957;I7-331OL;81;1
"blurry photo of parrotfish";5552;I7-331OL;1376;0
"blurry blue photo of parrotfish";5552;I7-331OL;658;0
"blurry bright blue photo of shadow parrotfish";5552;I7-331OL;426;0
"diver on the right side looking at bright light";13402;I7-331OL;3575;0
"diver looking at bright light on the right side of light blue photo";13402;I7-331OL;3251;0
"diver looking at bright light on the right side of light blueish almost greenish photo";13402;I7-331OL;2202;0
"giant barrel sponge with small fish near";18781;I7-331OL;3198;0
"giant barrel sponge with small weird fish near it";18781;I7-331OL;2008;0
"giant barrel sponge with small fish near, cockscomb cup coral";18781;I7-331OL;810;0
"grass ocean bed with a lot of small black fishes";10206;I7-331OL;1304;1
"grass ocean bed with a lot of small black fishes, smooth mounding coral, bamboo coral";10206;I7-331OL;427;1
"grassy ocean bed with a lot of small black fishes, smooth mounding coral, bamboo coral, elkhorn coral";10206;I7-331OL;325;1
"sand on the bottom of the ocean and small diver holding orange object";3478;I7-331OL;816;0
"darker sand on the bottom of the ocean and small diver holding orange object in the top right corner";3478;I7-331OL;455;0
"darker sand on the bottom of the ocean and small diver surrounded by bubbles holding orange object in the top right corner of the photo";3478;I7-331OL;345;0
"diver with breathing bomb in blue neoprene";16007;I7-331OL;1927;0
"diver with breathing bomb and red mask, clenched fist";16007;I7-331OL;799;1
"diver with breathing bomb and red mask, clenched fist, greenish water";16007;I7-331OL;592;1
"white blurry photo";1013;I7-331OL;946;0
"white photo";1013;I7-331OL;181;1
"white foggy photo";1013;I7-331OL;14;1
