query;find_id;session_id;position;same_video
"small greyish fish lying on grey sand";91;USsQyJVR;94;1
"small sea perch lying on grey sand";91;USsQyJVR;63;1
"rounded fish with small prickles";97;USsQyJVR;7843;0
"purcupinefish, greenish photo";97;USsQyJVR;3135;0
"sea dragon looking like palm";105;USsQyJVR;2;1
"a lot of striped black and white fishes and yellow fish";193;USsQyJVR;188;0
"a lot of striped black and white butterflyfish and yellowtail fish in light blue water";193;USsQyJVR;150;0
"diver face";317;USsQyJVR;24;1
"a lot of banded butterflyfishes in light blue water";362;USsQyJVR;137;1
"light blue photo of banded butterflyfishes and threespot damselfishes";362;USsQyJVR;179;1
"light blue photo of black and white striped fishes and one black fish";426;USsQyJVR;25;1
"bright hazy greenish photo of rocks";590;USsQyJVR;346;0
"bright hazy light greenish photo of rocks, seagrass bed";590;USsQyJVR;151;0
"big greenish carpet lying on rocks";646;USsQyJVR;125;0
"big greenish carpet lying on rocks, leaf coral, small whitish rocks";646;USsQyJVR;127;0
"bright blue photo of rocks with white stains";772;USsQyJVR;3530;0
"bright light blue photo of rocks with white stains";772;USsQyJVR;3304;0
"brain coral in purplish photo";791;USsQyJVR;8;1
"leaf coral in greenish photo";811;USsQyJVR;91;1
"ivory bush coral in greenish photo";811;USsQyJVR;37;1
"brown rocks with white stains";844;USsQyJVR;4;1
"divers with purplish flashlights in darker water";1087;USsQyJVR;127;0
"divers with purplish flashlights in darker water, deep hydrothermal vent";1087;USsQyJVR;291;0
"net lying on rocks in greenish photo";1337;USsQyJVR;2;1
"bright yellow corals";1419;USsQyJVR;38;1
"purplish bush coral on rocks";1623;USsQyJVR;85;0
"small purplish bush coral on rocks";1623;USsQyJVR;48;1
"whitish leaf coral";1851;USsQyJVR;21;1
"light blue photo of rocks";1999;USsQyJVR;116;0
"light blue photo of small rocks";1999;USsQyJVR;99;0
"light blue photo of rocks, brain corals and leaf corals";2129;USsQyJVR;887;0
"light blue-green photo of rocks, brain corals and leaf corals";2129;USsQyJVR;544;0
"purple ivory bush coral, whitish pillar coral and leaf coral";2235;USsQyJVR;51;1
"bright blue tails on right side of photo, coral reef and whitish sand";2295;USsQyJVR;1377;0
"bright blue fins on right side of the photo, coral reef and small spot of whitish sand";2295;USsQyJVR;1216;0
"coral reef with brownish plant, bright blue water with small black fishes";2486;USsQyJVR;3;1
"really foggy photo showing dark rocks";549;USsQyJVR;8571;0
"really light foggy photo showing dark rocks, southern stingray, flatback turtle";549;USsQyJVR;2164;1
"coral reef with diver and grey sand";2479;USsQyJVR;676;0
"coral reef with a diver with a breathing bomb and grey sand";2479;USsQyJVR;463;0
"brain coral and opening clam";2580;USsQyJVR;1415;0
"brain coral and opening clam, giant barrel sponge, light blue photo";2580;USsQyJVR;898;0
"small snake head in the middle of the photo surround with sand and grey corals";2685;USsQyJVR;930;1
"small snake head in the middle of the photo surround with sand and grey corals, smooth mounding coral, bluebanded goby";2685;USsQyJVR;330;1
"diver in the bottom of photo, black rocks on the left side of the photo";3006;USsQyJVR;2948;0
"diver in the bottom of photo, black rocks on the left side of the photo, all in fog";3006;USsQyJVR;333;0
"corals and small black fish";4646;USsQyJVR;1371;0
"smooth mounding coral, threespot damselfish, nassau grouper";4646;USsQyJVR;38;1
"rocky wall on the left side of the photo and blue water on the right";4719;USsQyJVR;4384;1
"dark rocky wall on the left and blue water on the right with small white and yellow fish and black fishes";4719;USsQyJVR;1980;1
"poorly visible sharks";5541;USsQyJVR;193;0
"poorly visible blue sharks in lighter blue water";5541;USsQyJVR;57;1
"shark in darker blue water";5599;USsQyJVR;316;1
"two blue shark in darker blue water";5599;USsQyJVR;88;1
