query;find_id;session_id;position;same_video
"small greyish fish lying on grey sand";91;6bCSh2bg;94;1
"small sea perch lying on grey sand";91;6bCSh2bg;66;1
"rounded fish with small prickles";97;6bCSh2bg;7843;0
"purcupinefish, greenish photo";97;6bCSh2bg;1660;0
"sea dragon looking like palm";105;6bCSh2bg;2;1
"a lot of striped black and white fishes and yellow fish";193;6bCSh2bg;188;0
"a lot of striped black and white butterflyfish and yellowtail fish in light blue water";193;6bCSh2bg;125;0
"diver face";317;6bCSh2bg;24;1
"a lot of banded butterflyfishes in light blue water";362;6bCSh2bg;137;1
"light blue photo of banded butterflyfishes and threespot damselfishes";362;6bCSh2bg;262;1
"light blue photo of black and white striped fishes and one black fish";426;6bCSh2bg;25;1
"bright hazy greenish photo of rocks";590;6bCSh2bg;346;0
"bright hazy light greenish photo of rocks, seagrass bed";590;6bCSh2bg;89;0
"big greenish carpet lying on rocks";646;6bCSh2bg;125;0
"big greenish carpet lying on rocks, leaf coral, small whitish rocks";646;6bCSh2bg;279;0
"bright blue photo of rocks with white stains";772;6bCSh2bg;3530;0
"bright light blue photo of rocks with white stains, ";772;6bCSh2bg;3323;0
"brain coral in purplish photo";791;6bCSh2bg;8;1
"leaf coral in greenish photo";811;6bCSh2bg;91;1
"ivory bush coral in greenish photo";811;6bCSh2bg;23;1
"brown rocks with white stains";844;6bCSh2bg;4;1
"divers with purplish flashlights in darker water";1087;6bCSh2bg;127;0
"divers with purplish flashlights in darker water, deep hydrothermal vent";1087;6bCSh2bg;645;0
"net lying on rocks in greenish photo";1337;6bCSh2bg;2;1
"bright yellow corals";1419;6bCSh2bg;38;1
"purplish bush coral on rocks";1623;6bCSh2bg;85;0
"small purplish bush coral on rocks";1623;6bCSh2bg;35;1
"whitish leaf coral";1851;6bCSh2bg;21;1
"light blue photo of rocks";1999;6bCSh2bg;116;0
"light blue photo of small rocks";1999;6bCSh2bg;105;0
"light blue photo of rocks, brain corals and leaf corals";2129;6bCSh2bg;887;0
"light blue-green photo of rocks, brain corals and leaf corals";2129;6bCSh2bg;432;0
"purple coral, whitish pillar coral and leaf coral";2261;6bCSh2bg;5677;0
"purple ivory bush coral, whitish pillar coral and leaf coral";2235;6bCSh2bg;51;1
"bright blue tails on right side of photo, coral reef and whitish sand";2295;6bCSh2bg;1377;0
"bright blue fins on right side of the photo, coral reef and small spot of whitish sand";2295;6bCSh2bg;1121;0
"coral reef with brownish plant, bright blue water with small black fishes";2486;6bCSh2bg;3;1
"really foggy photo showing dark rocks";549;1DD5zvg_;8571;0
"really light foggy photo showing dark rocks, southern stingray, flatback turtle";549;1DD5zvg_;280;1
"coral reef with diver and grey sand";2479;1DD5zvg_;676;0
"coral reef with a diver with a breathing bomb and grey sand";2479;1DD5zvg_;352;0
"brain coral and opening clam";2580;1DD5zvg_;1415;0
"brain coral and opening clam, giant barrel sponge, light blue photo";2580;1DD5zvg_;682;0
"small snake head in the middle of the photo surround with sand and grey corals";2685;1DD5zvg_;930;1
"small snake head in the middle of the photo surround with sand and grey corals, smooth mounding coral, bluebanded goby";2685;1DD5zvg_;166;1
"diver in the bottom of photo, black rocks on the left side of the photo";3006;1DD5zvg_;2948;0
"diver in the bottom of photo, black rocks on the left side of the photo, all in fog";3006;1DD5zvg_;123;0
"corals and small black fish";4646;1DD5zvg_;1371;0
"smooth mounding coral, threespot damselfish, nassau grouper";4646;1DD5zvg_;18;1
"rocky wall on the left side of the photo and blue water on the right";4719;1DD5zvg_;4384;1
"dark rocky wall on the left and blue water on the right with small white and yellow fish and black fishes";4719;1DD5zvg_;808;1
"poorly visible sharks";5541;1DD5zvg_;193;0
"poorly visible blue sharks in lighter blue water";5541;1DD5zvg_;38;1
"shark in darker blue water";5599;1DD5zvg_;316;1
"two blue shark in darker blue water";5599;1DD5zvg_;29;1
"two rays";8931;1DD5zvg_;526;0
"two spotted eagle ray above whitish sand";8931;1DD5zvg_;51;1
"brownish ivory bush coral";9828;1DD5zvg_;5132;0
"brownish ivory bush coral bottom of the sea, seagrass bed, bamboo coral";9828;1DD5zvg_;2614;1
"shipwreck";10759;1DD5zvg_;294;1
"shipwreck, windows and small tuna";10759;1DD5zvg_;10;1
"sandy bottom of the sea";11666;1DD5zvg_;1326;0
"grey almost white sandy bottom of the sea with blue water at the top of the photo";11666;1DD5zvg_;165;1
"light brown corals and rocks on the left, darker blue water in the top left";13521;1DD5zvg_;9484;0
"light brown corals and rocks on the left, darker blue water in the top left, smooth mounding coral, pillar coral, hood coral, honeycomb coral, ivory bush coral";13521;1DD5zvg_;3591;0
"diver near big turtle";14198;1DD5zvg_;1900;0
"diver near turtle lying on sea floor and banded butterflyfish";14198;1DD5zvg_;163;0
"sandy bottom of the sea with small rocks and blue water above";14761;1DD5zvg_;12795;0
"grey sandy bottom of the sea with a few small rocks and bluish water above, foggy photo";14761;1DD5zvg_;619;0
"blackish parrot fish and brain coral";16545;1DD5zvg_;593;1
"grey parrotfish with white spots near small brain coral";16545;1DD5zvg_;122;1
"two sharks lying on sandy sea bed";17862;1DD5zvg_;333;1
"nurse shark, lemon shark, whitetip reef shark lying on whitish sand sea bed";17862;1DD5zvg_;36;1
"grey sand with long narrow fish";18806;1DD5zvg_;752;0
"sand with small trumpetfish";18806;1DD5zvg_;68;0
"diver with red fins";19929;1DD5zvg_;10774;0
"two divers with breathing bomb and red luminous divers fins, darker photo";19929;1DD5zvg_;11;1
"coral reef with small black bluetail fishes";2549;1DD5zvg_;4065;0
"pillar coral reef with small black fishes with blue tails";2549;1DD5zvg_;3640;0
"whitish sand with black sea cucumber";2585;1DD5zvg_;15;1
"brain coral and yellow and blue striped fish and yellow fish";2658;1DD5zvg_;2;1
"small shark under rock";2682;1DD5zvg_;3;1
"black ray";2742;1DD5zvg_;971;0
"black giant manta ray near rock";2742;1DD5zvg_;99;1
"parrot fish";2785;1DD5zvg_;21;1
"turtle near coral reef";2809;1DD5zvg_;33;1
"black and yellow striped fish next to coral reef";2819;1DD5zvg_;33;1
"pillar coral with two small black and blue fishes";2951;1DD5zvg_;53;1
"pillar coral with small yellow fish";3053;1DD5zvg_;1;1
"pillar coral with small yellow fish and diver in background";3415;1DD5zvg_;3119;0
"pillar coral with small yellow fish, sea anemone, bamboo coral, grooved brain coral, two divers in background";3415;1DD5zvg_;1030;1
"diver with breathing bomb swimming next to rock reef";3604;1DD5zvg_;5957;0
"diver with white breathing bomb, bright yellow neoprene and black fins swimming next to rock reef";3604;1DD5zvg_;1628;0
"bright yellow fish in cave";3951;1DD5zvg_;130;0
"bright yellow fishes in cave, green moray eel";3951;1DD5zvg_;17;1
"bright blue moray eel opening mouth";4022;1DD5zvg_;1;1
"three divers, bright orange fins in blue photo";4314;1DD5zvg_;1138;0
"three divers with a lot of bubbles, orange fins in blue photo";4314;1DD5zvg_;103;0
"small black fishes swimming up near rock reef";4481;1DD5zvg_;18;1
"brown rocky valley";4983;1DD5zvg_;472;0
"brown rocky reef under foggy bright blue water";4983;1DD5zvg_;434;0
"a lot of brownish fishes";4999;1DD5zvg_;167;1
"a lot of brownish striped mullet";4999;1DD5zvg_;15;1
"small brown and white creature with short tentacles near grey sand";5025;1DD5zvg_;653;0
"small brown and white creature with mandibles near grey sand";5025;1DD5zvg_;178;0
